question_id,image_filename,Marks,solution_image_id,solve_text,subject
13,1014.jpg,0,1013,"ABCD = 4√3
Δ BCD = \frac{1}{2}absinC = \frac{1}{2} × 2 × 5 × sin60 = \frac{5\sqrt{3}}{2}
∴ ΔABD = 4√3 − \frac{5\sqrt{3}}{2} = \frac{3\sqrt{3}}{2}
এখন, \frac{1}{2}cd sinA = \frac{3\sqrt{3}}{2}
⇒ cd = \frac{3\sqrt{3}}{sin120} [A + C = 180° ⇒ A = 180 − 60 = 120°]
⇒ cd = 6
এখন, x² = a² + b² − 2abcosC = 2² + 5² − 2 × 2 × 5 cos60
⇒ x² = 19 ⇒ x = √19
আবার, x² = c² + d² − 2cd cosA
⇒ 19 = c² + d² − 2 × 6 × (−\frac{1}{2})
⇒ c² + d² = 13 ⋯⋯⋯ (i)
c² − d² = √(c² + d²)² − 4c²d² = √13² − 4.6²
= 5 ⋯⋯⋯ (ii)
(i) − (ii)
c² + d² = 13
c² − d² = 5",Math
14,1015.jpg,7,,"cos x − cos y = a ⇒ cos y − cos x = −a
⇒ 2sin(\frac{x+y}{2})sin(\frac{x−y}{2}) = −a......(i)
sin x − sin y = b ⇒ 2cos(\frac{x+y}{2})sin(\frac{x−y}{2}) = b......(ii)
(i) ÷ (ii) ⇒ tan(\frac{x+y}{2}) = \frac{−a}{b}
∴ sin(x + y) = \frac{2tan(\frac{x+y}{2})}{1+tan²(\frac{x+y}{2})} = \frac{\frac{−2a}{b}}{1+(\frac{−a}{b})²} = \frac{\frac{−2a}{b}}{1+\frac{a²}{b²}} = \frac{−2ab}{a²+b²}(Ans.)

নম্বর বণ্টনঃ
2sin(\frac{x+y}{2})sin(\frac{x−y}{2}) = −a ; নির্ণয়ের জন্য ০৩ নম্বর।
2cos(\frac{x+y}{2})sin(\frac{x−y}{2}) = b; নির্ণয়ের জন্য ০৩ নম্বর।
sin(x + y) = \frac{−2ab}{a²+b²}; নির্ণয়ের জন্য ০৪ নম্বর।n fore",Math
15,1017.jpg,6,1016,"x^2 + y^2 - 4x - 2y - 20 = 0
=> C = (-2, -1) = (2, 1)
r = √2^2 + 1^2 - (-20) = 5
নিকটতম লম্ব দূরত্ব = ED = OD - OE
=> ED = (3.2 + 4.1 + 20)/√3^2 + 4^2 - 5 = 6 - 5 = 1
এখন, OD সরলরেখার সমীকরণ => 4x - 3y = 4.2 - 3 * 1
=> 4x - 3y = 5
:: D বিন্দু হবে 4x - 3y - 5 = 0 ও 3x + 4y + 20 = 0 এর
ছেদবিন্দু।
:: D = (-8/5, -19/5)
নম্বর বণ্টনঃ
C = (2, 1); নির্ণয় করার জন্য ০২ নম্বর।
ED = 1; নির্ণয় করার জন্য ০৪ নম্বর।
D = (-8/5, -19/5); নির্ণয় করার জন্য ০৪ নম্বর।",Math
17,1018.jpg,10,,"ধরি, বৃত্তের সমীকরণ, x² + y² + 2gx + 2fy + c = 0... (i)
(i) নং বৃত্তটি (2,0) ও (4,-2) বিন্দুগামী ও বৃত্তের কেন্দ্র (- g, - f)
4+0+4g + c = 0 ⇒ 4g + c = -4
16+4+8g-4f + c = 0 ⇒ 8g - 4f + c = -20; -g - 2f = 10
∴ g = - 6, f = - 2, c = 20
.: বৃত্তের সমীকরণ, x² + y² - 12x – 4y + 20 = 0
নম্বর বণ্টন:
g = - 6, f = -2, c = 20; নির্ণয়ের জন্য (০২× ০৩) = ০৬ নম্বর।
বৃত্তের সমীকরণ, x² + y² - 12x - 4y + 20 = 0; নির্ণয়ের জন্য ০৪ নম্বর।",Math
18,1019.jpg,10,,"[1 -2  3] [2  2  3]
AB = x² [4  5  2] [-4  1  5]
[-3  1  3] [1  4 -4]

[13 12 -19] [13x² 12x² -19x²]
= x² [-10 21  29] = [-10x² 21x² 29x²]
[-7  7 -16] [-7x²  7x² -16x²]

[ 52  48 -76]
= [-40  84 116]
[-28  28 -64]

.. x² = 4 ⇒ x = -2; A = [-2  4 -6]
[-8 -10 -4]
[ 6 -2 -6]

.. A² = [-2  4 -6][-2  4 -6] [-64 -36  32]
[-8 -10 -4][-8 -10 -4] = [ 72  76 112]
[ 6 -2 -6][ 6 -2 -6] [-32  56   8]

নম্বর বণ্টন:
AB = [13x² 12x² -19x²] ; নির্ণয়ের জন্য ০২ নম্বর।
[-10x² 21x² 29x²]
[-7x²  7x² -16x²]",Math
1,1021.jpg,0,1020,"P1 = Patm; P2 = Patm + hpwg
P2 × 10 = P1 × 15
⇒ (Patm + hpwg) × 2 = Patm × 3 :: h = 5.1m
নির্ণেয় গভীরতা = (5.1 + 0.05)m = 5.15 m
[Ans.]
নম্বর বণ্টনঃ
P1 = Patm; P2 = Patm + hpwg; লেখার জন্য ০২ নম্বর।
P2 × 10 = P1 × 15; নির্ণয় করার জন্য ০৩ নম্বর।
h = 5.17m; নির্ণয় করার জন্য ০৫ নম্বর।
বিদ্র: একক না লিখলে বা ভুল একক লিখলে ০১ নম্বর কর্তন করা হবে।",Physics
2,1022.jpg,10,,"Crms = √(3RT/M) = √(3 * 8.314 * 273 / (28 * 10^-3)) = 493.14 ms^-1

λ = 1 / √(2πnσ^2) = 1 / √(2π * (PNA/RT) * NA * σ^2) = 5.23 * 10^-8 m

t = λ / Crms = (5.23 * 10^-8) / 493.14 = 1.06 * 10^-10 s (Ans.)

নম্বর বণ্টনঃ

Crms = 493.14 ms^-1; নির্ণয়ের জন্য ০৩ নম্বর।
λ = 5.23 × 10^-8 m; নির্ণয়ের জন্য ০৩ নম্বর।
t = 1.06 × 10^-10 s; নির্ণয়ের জন্য ০৪ নম্বর।

[বিঃদ্র: একক না লিখলে বা ভুল একক লিখলে ০১ নম্বর কর্তন করা হবে। সূত্র না লিখে সরাসরি মান বসালেও গ্রহণযোগ্য হবে।]",Physics
3,1024.jpg,10,1023,"ধরি, বৃষ্টির উলম্ব উপাংশ Vy, আনুভূমিক উপাংশ Vx = 5 ms⁻¹
বেগ দ্বিগুণ করলে বৃষ্টির আপেক্ষিক বেগ,

প্রশ্নমতে, tan 30° = /frac{5}{Vy} :: Vy = 5√3 বৃষ্টির বেগের মান = √5² + (5√3)² = 10 ms⁻¹
.. উলম্বের সাথে কোণ, θ = tan⁻¹(/frac{5}{5√3}) = 30° [Ans.]
বিকল্প:
AO = DE = 5 BO = CE = 10 ; OA = AB = 5 .. CD = 5 [∵ CD = DE] বৃষ্টির উলম্ব উপাংশ,
→
Vy = OD = /frac{5}{tan 30} = 5√3 .. Vr = OE = √OD² + DE² = 10 ms⁻¹ আবার, CD = DE তাই, θ = 30° বৃষ্টির উল্লম্বের
সাথে 30° কোণে 10 ms⁻¹ বেগে পড়ছে।
নম্বর বণ্টনঃ
Vy = 5√3 ; নির্ণয় করার জন্য ০২ নম্বর।
←
Vr = 10 ms⁻¹; নির্ণয় করার জন্য ০৪ নম্বর।
θ = 30°; নির্ণয় করার জন্য ০৪ নম্বর।
[বিদ্র: একক না লিখলে বা ভুল একক লিখলে ০১ নম্বর কর্তন করা হবে।]",Physics
4,1026.jpg,10,1025,"m₁u₁ + m₂u₂ = (m₁ + m₂)V₁ ⇒ 5 × 15 + 0 = 8 × V₁ ⇒ V₁ = 9.375ms⁻¹
∴ 1/2kA² = 1/2(m₁ + m₂)V₁² ⇒ 1/2 × 3000 × A² = 1/2 × 8 × 9.375²
⇒ A² = 0.2344 ⇒ A = 0.484m (Ans.)
নম্বর বণ্টনঃ
m₁u₁ + m₂u₂ = (m₁ + m₂)V₁ সূত্রের জন্য ০২ নম্বর।
মান বসানোর জন্য ০২ নম্বর।
V₁ = 9.375ms⁻¹ নির্ণয় করার জন্য ০৩ নম্বর।
A = 0.484m নির্ণয় করার জন্য ০৩ নম্বর।
[বিদ্র: একক না লিখলে বা ভুল একক লিখলে ০১ নম্বর কর্তন করা হবে। সূত্র না লিখে সরাসরি মান বসালেও গ্রহণযোগ্য হবে।]",Physics
5,1028.jpg,0,1027,"ধরি, একক দৈর্ঘ্যের ভর = m'
বিভবশক্তির পরিবর্তন = \frac{m'gL+0}{2} \times \frac{L}{4}
ঘর্ষণ বল কর্তৃক কাজ = μ ( \frac{3m'Lg}{4} \times \frac{L}{4} + \frac{m'Lg}{4} \times \frac{L}{8} ) = μ ( \frac{7m'gL^2}{32} )
[ L অংশের গড় সরণ \frac{L}{4}, \frac{L}{8} ]
একক অংশের ভর, m' = \frac{0.012}{28 \times 10^{-2}} = \frac{3}{70} kgm^{-1}
মোট কাজ = \frac{m'gL^2}{32} + μm'gL^2 \times \frac{7}{32}
= \frac{3}{70} \times \frac{9.8 \times 0.28^2}{32} + 0.2 \times \frac{3}{70} \times 9.8 \times 0.28^2 \times \frac{7}{32} = 2.4696 \times 10^{-3} J [Ans.]
নম্বর বণ্টনঃ
বিভবশক্তির পরিবর্তন = \frac{m'gL+0}{2} \times \frac{L}{4} ; নির্ণয় করার জন্য ০৪ নম্বর।
ঘর্ষণ বল কর্তৃক কাজ = μ ( \frac{7m'gL^2}{32} ) ; নির্ণয় করার জন্য ০৪ নম্বর।
মোট কাজ = 2.4696 \times 10^{-3} J ; নির্ণয় করার জন্য ০২ নম্বর।
বিদ্র: একক না লিখলে বা ভুল একক লিখলে ০১ নম্বর কর্তন করা হবে।",Physics
6,1030.jpg,1,1029,"2L = 2m :: L = 100 cm ; d = 0.8 × 10⁻¹ cm ; cos θ = 0.01 / √1² + 0.01² = 9.999 × 10⁻³

⇒ T = YAI / L ⇒ T = (πd² / 4) × Y × √L²+x²-L / L = 5.0264 N

2Tcos θ = mg ⇒ m = 2Tcos θ / g = 10.26 g [Ans.]

নম্বর বণ্টনঃ

cos θ = 9.999 × 10⁻³ ; নির্ণয় করার জন্য ০২ নম্বর।

T = (πd² / 4) × Y × √L²+x²-L / L ; লেখার জন্য ০৩ নম্বর।

T = 5.0264 N ; নির্ণয় করার জন্য ০২ নম্বর।

m = 10.26 g ; নির্ণয় করার জন্য ০৩ নম্বর।

[বিদ্র: একক না লিখলে বা ভুল একক লিখলে ০১ নম্বর কর্তন করা হবে।]",Physics
7,1032.jpg,4,1031,"তীর বরাবর স্পীডবোট ও চোরের দূরত্ব সমান।
40t = 20t + \frac{acos 30°t^2}{2}  .. acos 30°t = 40... (i) 100 = \frac{asin 30°t^2}{2} ... (ii) (ii) ÷ (i) ⇒ tan 30°t = \frac{200}{40} .. t = 5\sqrt{3}s
[Ans.]
নম্বর বণ্টনঃ
acos 30°t = 40 ; নির্ণয় করার জন্য ০৪ নম্বর। 100 = \frac{asin 30°t^2}{2} ; নির্ণয় করার জন্য ০৪ নম্বর।
t = 5\sqrt{3}s ; নির্ণয় করার জন্য ০২ নম্বর।
বিদ্র: একক না লিখলে বা ভুল একক লিখলে ০১ নম্বর কর্তন করা হবে।",Physics
8,1033.jpg,0,,"ধরি, সর্বোচ্চ ও সর্বনিম্ন দূরত্বে বেগ যথাক্রমে V1 ও V2
এখন, V1 × 4R = V2 × 2R [কৌণিক ভরবেগের সংরক্ষণ]
⇒ V1 × 2 = V2
শক্তির সংরক্ষণ সূত্র অনুযায়ী,
/frac{GMm}{4R} + /frac{1}{2}mv_1^2 = /frac{GMm}{2R} + /frac{1}{2}mv_2^2
⇒ /frac{GMm}{4R} + /frac{1}{2}m × v_1^2 = /frac{GMm}{2R} + /frac{1}{2}m × 4v_1^2
∴ V1 = √/frac{GM}{6R} = 3229 ms⁻¹
অনুরূপভাবে, V2 = √/frac{2GM}{3R} = 6458 ms⁻¹ [Ans.]
নম্বর বণ্টনঃ
V1 × 4R = V2 × 2R ; লেখার জন্য ০২ নম্বর।
/frac{GMm}{4R} + /frac{1}{2}mv_1^2 = /frac{GMm}{2R} + /frac{1}{2}mv_2^2 ; লেখার জন্য ০৩ নম্বর।
V1 = 3229 ms⁻¹ ; নির্ণয় করার জন্য ০৩ নম্বর।
V2 = 6458 ms⁻¹ ; নির্ণয় করার জন্য ০২ নম্বর।
বিদ্র: একক না লিখলে বা ভুল একক লিখলে ০১ নম্বর কর্তন করা হবে।",Physics
9,1034.jpg,10,,"T = 2π√(L/geff)
geff = [g - (g/16)] = 15g/16
T = 2π√(L/(15g/16))
T = 4T/√15 = 4×2/√15 = 2.066 s (Ans.)
নম্বর বণ্টনঃ
T = 2π√(L/geff) ; সূত্রের জন্য ০১ নম্বর।
geff = 15g/16 ; নির্ণয়ের জন্য ০৪ নম্বর।
T = 2π√(L/(15g/16)) ; সূত্রের জন্য ০১ নম্বর।
T = 2.066 s ; নির্ণয়ের জন্য ০৪ নম্বর।
[বিঃদ্র: একক না লিখলে বা ভুল একক লিখলে ০১ নম্বর কর্তন করা হবে। সূত্র না লিখে সরাসরি মান বসালেও গ্রহণযোগ্য হবে।]",Physics
10,1035.jpg,10,,"গড়িয়ে পড়ার সময় গোলকের, সিলিন্ডারের এবং রিং এর জড়তার ভ্রামক যথাক্রমে $\frac{2}{5}Mr^2$, $\frac{1}{2}Mr^2$, $Mr^2$
:: τ = Ia হলে, F = mgsin θ হলে, τ = r.mgsin θ
টর্ক সবার জন্যই সমান।
$\alpha_S = \frac{\tau}{\frac{2}{5}Mr^2} = \frac{5\tau}{2Mr^2}$
$\alpha_C = \frac{\tau}{\frac{1}{2}Mr^2} = \frac{2\tau}{Mr^2}$
$\alpha_R = \frac{\tau}{Mr^2}$
এখানে, $\alpha_S > \alpha_C > \alpha_R$ :: গোলকের ত্বরণ বেশি।
নম্বর বণ্টনঃ
গোলকের, সিলিন্ডারের এবং রিং এর জড়তার ভ্রামক যথাক্রমে $\frac{2}{5}Mr^2$, $\frac{1}{2}Mr^2$, $Mr^2$ লেখার জন্য ০৩ নম্বর।
$\alpha_G = \frac{5}{2}\frac{\tau}{Mr^2}$ নির্ণয় করার জন্য ০২ নম্বর।
$\alpha_C = \frac{2\tau}{Mr^2}$ নির্ণয় করার জন্য ০২ নম্বর।
$\alpha_R = \frac{\tau}{Mr^2}$ নির্ণয় করার জন্য ০২ নম্বর।
$\alpha_G > \alpha_C > \alpha_R$ গোলকের ত্বরণ বেশি বের করার জন্য ০১ নম্বর।",Physics
11,1036.jpg,2,,"নিরেট সিলিন্ডারের অক্ষরেখার সাথে লম্ব এবং কেন্দ্রগামী হলে জড়তার ভ্রামক IG = M (/\frac{l^2}{12} + \frac{r^2}{4}/)
প্রান্তগামী হলে, I = IG + M(/\frac{l^2}{4}/) = M (/\frac{l^2}{12} + \frac{r^2}{4}/) + M(/\frac{l^2}{4}/) = M (/\frac{l^2}{3} + \frac{r^2}{4}/)
.. I = 5 {(/\frac{(0.2)^2}{3}/ + /\frac{(0.05)^2}{4}/)} = /\frac{67}{960}/ = 0.0698kgm^2
.. MK^2 = I ⇒ 0.0698 = 5K^2 ⇒ K = 0.118m (Ans.)
নম্বর বণ্টনঃ
IG = M (/\frac{l^2}{12} + \frac{r^2}{4}/) সূত্রের জন্য ০২ নম্বর।
I = M (/\frac{l^2}{3} + \frac{r^2}{4}/) লেখার জন্য ০২ নম্বর।
I = 0.0698kgm^2 নির্ণয় করার জন্য ০২ নম্বর।
MK^2 = I সূত্রের জন্য ০২ নম্বর।
K = 0.118m নির্ণয় করার জন্য ০২ নম্বর।
[বিদ্র: একক না লিখলে বা ভুল একক লিখলে ০১ নম্বর কর্তন করা হবে। সূত্র না লিখে সরাসরি মান বসালেও গ্রহণযোগ্য হবে।]",Physics
12,1037.jpg,10,,"ধরি, x উচ্চতায় উঠবে। (5.28 + 0.265)x = \frac{1}{2} \times \frac{5.28}{9.8} \times 20^2; x = 19.43 m
শক্তির সংরক্ষণশীলতা অনুসারে, Δk = Wext ⇒ \frac{1}{2}mv_f^2 - \frac{1}{2}m \times 20^2 = - 0.265 \times 19.43 \times 2; v_f = 19.02 ms^{-1} [Ans.]

নম্বর বণ্টনঃ
x = 19.43 m; নির্ণয় করার জন্য ০৪ নম্বর।
v_f = 19.02 ms^{-1}; নির্ণয় করার জন্য ০৬ নম্বর।
বিদ্র: একক না লিখলে বা ভুল একক লিখলে ০১ নম্বর কর্তন করা হবে।",Physics
13,1038.jpg,7,,"BΔV
---
V
= P

=> 1.6 × 10⁹ × (4000 - 3999) / 4000 = P :: P = 400000 Pa

.. মোট চাপ = 10⁵ + 400000 = 5 × 10⁵ Pa [Ans.]

নম্বর বণ্টনঃ

BΔV
--- = P; লেখার জন্য ০২ নম্বর।
V
P = 400000 Pa; নির্ণয় করার জন্য ০৫ নম্বর।
মোট চাপ= 5 × 10⁵ Pa; নির্ণয় করার জন্য ০৩ নম্বর।
বিদ্র: একক না লিখলে বা ভুল একক লিখলে ০১ নম্বর কর্তন করা হবে।",Physics
14,1040.jpg,0,1039,"ধরি, ছোট গোলকটির প্রতিক্রিয়া বল NA ।
mgcos θ - NA = \frac{mv^2}{R + \frac{d}{2}}
শক্তির সংরক্ষণশীলতা অনুসারে, \frac{1}{2}mv^2 = mg (R + \frac{d}{2})(1 - cos θ)
⇒ mgcos θ - NA = 2mg - 2mgcos θ ⇒ NA = 3 mgcos θ - 2mg
বিচ্ছিন্ন হলে, NA = 0 :: 3cos θ - 2 = 0 :: θ = cos⁻¹(\frac{2}{3}) [Ans.]
নম্বর বণ্টনঃ
mgcos θ - NA = \frac{mv^2}{R + \frac{d}{2}}; লেখার জন্য ০৩ নম্বর।
\frac{1}{2}mv^2 = mg (R + \frac{d}{2})(1 - cos θ); লেখার জন্য ০৩ নম্বর।
θ = cos⁻¹(\frac{2}{3}); নির্ণয় করার জন্য ০৪ নম্বর।
[বিদ্র: একক না লিখলে বা ভুল একক লিখলে ০১ নম্বর কর্তন করা হবে।]",Physics
